  THREADS     L     V     W+1   TIME(us)   MEMORY(GB)  STORAGE(MB) CORRECT
       16    52    23    29    1849829        6.200     3852.800     yes
        8    52    23    29    2147211        6.200     3852.800     yes
        4    52    23    29    2775889        6.200     3852.800     yes
        2    52    23    29    4146139        6.200     3852.800     yes
        1    52    23    29    7281587        6.200     3852.800     yes
       16    52    22    30     978513        9.000     6649.600     yes
        8    52    22    30    1128105        9.000     6649.600     yes
        4    52    22    30    1482523        9.000     6649.600     yes
        2    52    22    30    2237060        9.000     6649.600     yes
        1    52    22    30    3844217        9.000     6649.600     yes
       16    52    21    31     496265       16.200    12771.200     yes
        8    52    21    31     576047       16.200    12771.200     yes
        4    52    21    31     742036       16.200    12771.200     yes
        2    52    21    31    1095417       16.200    12771.200     yes
        1    52    21    31    1844498       16.200    12771.200     yes
       16    53    26    27   13714882       19.700     6419.200     yes
        8    53    26    27   15163710       19.700     6419.200     yes
        4    53    26    27   19081374       19.700     6419.200     yes
        2    53    26    27   27501714       19.700     6419.200     yes
       16    53    25    28    7003762       11.300     4390.400     yes
        8    53    25    28    7844319       11.300     4390.400     yes
        4    53    25    28    9941629       11.300     4390.400     yes
        2    53    25    28   14927826       11.300     4390.400     yes
        1    53    25    28   25465421       11.300     4390.400     yes
       16    53    24    29    3637529        8.600     4556.800     yes
        8    53    24    29    4092731        8.600     4556.800     yes
        4    53    24    29    5387605        8.600     4556.800     yes
        2    53    24    29    8386244        8.600     4556.800     yes
        1    53    24    29   15190496        8.600     4556.800     yes
       16    54    27    27   28236868       38.500    12051.200     yes
        8    54    27    27   30843213       38.500    12051.200     yes
        4    54    27    27   38356319       38.500    12051.200     yes
        2    54    27    27   55166760       38.500    12051.200     yes
        1    54    27    27   92448411       38.500    12051.200     yes
       16    54    26    28   14105048       20.700     7206.400     yes
        8    54    26    28   15503044       20.700     7206.400     yes
        4    54    26    28   19957053       20.700     7206.400     yes
        2    54    26    28   29743002       20.700     7206.400     yes
        1    54    26    28   51777970       20.700     7206.400     yes
       16    54    25    29    7421757       13.300     5964.800     yes
        8    54    25    29    8116620       13.300     5964.800     yes
        4    54    25    29   10248307       13.300     5964.800     yes
        2    54    25    29   16783534       13.300     5964.800     yes
        1    54    25    29   29312386       13.300     5964.800     yes
       16    54    24    30    3957321       12.500     7705.600     yes
        8    54    24    30    4510009       12.500     7705.600     yes
        4    54    24    30    6090394       12.500     7705.600     yes
        2    54    24    30    9375481       12.500     7705.600     yes
        1    54    24    30   16398530       12.500     7705.600     yes
       16    54    23    31    2089553       17.900    13299.200     yes
        8    54    23    31    2359911       15.600    13299.200     yes
        4    54    23    31    3175558       17.900    13299.200     yes
        2    54    23    31    4872464       17.900    13299.200     yes
        1    54    23    31    8329711       17.900    13299.200     yes
